ElectionYear,ElectionDate,StateAb,DivisionID,DivisionNm,Latitude,Longitude,PollingPlaceCount,CandidateName,PartyAb,PartyNm_clean,Elected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,PrePollShare,Swing,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing,TcpWinnerParty,TcpWinnerPartyAb,TcpMarginPct,InformalVotes,InformalPct,SwingZScore,SeatSafety
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Nathan Skrlj,ON,One Nation,False,5472,273,29,222,1022,7018,0.032,1.37,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,0.021,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,John Photakis,GRN,The Greens,False,12423,742,81,437,1466,15149,0.029,1.0,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,-0.067,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Jim Rishworth,LP,Liberal Party,False,16369,622,58,619,3326,20994,0.029,-7.22,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,-2.024,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Steven Price,FFP,Family First,False,2918,155,18,98,371,3560,0.028,3.16,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,0.448,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Russell Patrick Jackson,CYA,Trumpet of Patriots,False,3327,178,14,119,527,4165,0.029,2.71,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,0.34,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Bin Liu,AJP,Animal Justice Party,False,1526,83,7,72,363,2051,0.035,1.82,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,0.129,Safe (>10%)
2025,2025-05-03,SA,186,Kingston,-35.11562834421161,138.7436719201482,49,Informal Informal,,Informal,False,4268,195,26,98,372,4959,0.02,0.4,127919,117654,91.98,0.61,Australian Labor Party,ALP,41.48,0,0.0,-0.21,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Geoff Russell,AJP,Animal Justice Party,False,1865,176,16,92,375,2524,0.036,2.38,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.262,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Samuel Moore,GRN,The Greens,False,10741,751,83,400,1159,13134,0.03,0.93,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,-0.083,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Sue Nancarrow,FFP,Family First,False,2800,182,14,110,415,3521,0.031,3.32,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.486,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Mark Aldridge,CYA,Trumpet of Patriots,False,3331,253,23,134,522,4263,0.031,2.25,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.231,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Alison Dew-Fennell,ON,One Nation,False,5519,335,26,229,1043,7152,0.032,2.0,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.171,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Amelie Hanna,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,False,724,52,2,34,107,919,0.037,0.87,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,-0.098,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Irena Zagladov,LP,Liberal Party,False,18683,741,77,631,3739,23871,0.026,-8.95,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,-2.436,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Tony Zappia,ALP,Australian Labor Party,True,40895,1729,206,1159,6775,50764,0.023,1.52,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.057,Safe (>10%)
2025,2025-05-03,SA,187,Makin,-34.820264671559706,138.89780277810212,46,Informal Informal,,Informal,False,5805,428,50,193,509,6985,0.028,2.04,123639,113133,91.5,0.3,Australian Labor Party,ALP,29.32,0,0.0,0.181,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Zane Basic,LP,Liberal Party,False,23722,842,97,992,3898,29551,0.034,-3.42,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,-1.119,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Rebekha Sharkie,XEN,Centre Alliance,True,30675,697,111,938,5032,37453,0.025,-1.49,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,-0.66,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Genevieve Dawson-Scott,GRN,The Greens,False,13960,876,100,612,1500,17048,0.036,1.83,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,0.131,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Ben Hackett,FFP,Family First,False,2758,131,14,136,358,3397,0.04,2.71,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,0.34,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Marisa Bell,ALP,Australian Labor Party,False,21626,1024,119,881,3068,26718,0.033,3.23,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,0.464,Safe (>10%)
2025,2025-05-03,SA,188,Mayo,-35.18735296432785,138.76998202950784,83,Rebecca Hewett,ON,One Nation,False,5962,266,42,286,937,7493,0.038,1.88,137818,129785,94.17,0.49,Centre Alliance,XEN,29.78,0,0.0,0.143,Safe (>10%)
